year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes,party_simplified
2016,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,279240,494526,REPUBLICAN
2016,NORTH CAROLINA,NC,"CLINTON, HILLARY",DEMOCRAT,2189316,4741564,DEMOCRAT
2016,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,2362631,4741564,REPUBLICAN
2016,NORTH DAKOTA,ND,"CLINTON, HILLARY",DEMOCRAT,93758,344360,DEMOCRAT
2016,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,216794,344360,REPUBLICAN
2016,NEBRASKA,NE,"CLINTON, HILLARY",DEMOCRAT,284494,844227,DEMOCRAT
2016,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,495961,844227,REPUBLICAN
2016,NEW HAMPSHIRE,NH,"CLINTON, HILLARY",DEMOCRAT,348526,744296,DEMOCRAT
2016,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,345790,744296,REPUBLICAN
2016,NEW JERSEY,NJ,"CLINTON, HILLARY",DEMOCRAT,2148278,3874046,DEMOCRAT
2016,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,1601933,3874046,REPUBLICAN
2016,NEW MEXICO,NM,"CLINTON, HILLARY",DEMOCRAT,385234,798319,DEMOCRAT
2016,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,319667,798319,REPUBLICAN
2016,NEVADA,NV,"CLINTON, HILLARY",DEMOCRAT,539260,1125385,DEMOCRAT
2016,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,512058,1125385,REPUBLICAN
2016,NEW YORK,NY,"CLINTON, HILLARY",DEMOCRAT,4379789,7802084,DEMOCRAT
2016,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,2527142,7802084,REPUBLICAN
2016,OHIO,OH,"CLINTON, HILLARY",DEMOCRAT,2394164,5496487,DEMOCRAT
2016,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,2841005,5496487,REPUBLICAN
2016,OKLAHOMA,OK,"CLINTON, HILLARY",DEMOCRAT,420375,1452992,DEMOCRAT
2016,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,949136,1452992,REPUBLICAN
2016,OREGON,OR,"CLINTON, HILLARY",DEMOCRAT,1002106,2001336,DEMOCRAT
2016,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,782403,2001336,REPUBLICAN
2016,PENNSYLVANIA,PA,"CLINTON, HILLARY",DEMOCRAT,2926441,6115402,DEMOCRAT
2016,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,2970733,6115402,REPUBLICAN
2016,RHODE ISLAND,RI,"CLINTON, HILLARY",DEMOCRAT,252525,464144,DEMOCRAT
2016,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,180543,464144,REPUBLICAN
2016,SOUTH CAROLINA,SC,"CLINTON, HILLARY",DEMOCRAT,855373,2103027,DEMOCRAT
2016,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,1155389,2103027,REPUBLICAN
2016,SOUTH DAKOTA,SD,"CLINTON, HILLARY",DEMOCRAT,117458,370093,DEMOCRAT
2016,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,227721,370093,REPUBLICAN
2016,TENNESSEE,TN,"CLINTON, HILLARY",DEMOCRAT,870695,2508027,DEMOCRAT
2016,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,1522925,2508027,REPUBLICAN
2016,TEXAS,TX,"CLINTON, HILLARY",DEMOCRAT,3877868,8969226,DEMOCRAT
2016,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,4685047,8969226,REPUBLICAN
2016,UTAH,UT,"CLINTON, HILLARY",DEMOCRAT,310674,1131317,DEMOCRAT
2016,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,515211,1131317,REPUBLICAN
2016,VIRGINIA,VA,"CLINTON, HILLARY",DEMOCRAT,1981473,3982752,DEMOCRAT
2016,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,1769443,3982752,REPUBLICAN
2016,VERMONT,VT,"CLINTON, HILLARY",DEMOCRAT,178573,320467,DEMOCRAT
2016,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,95369,320467,REPUBLICAN
2016,WASHINGTON,WA,"CLINTON, HILLARY",DEMOCRAT,1742718,3317019,DEMOCRAT
2016,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,1221747,3317019,REPUBLICAN
2016,WISCONSIN,WI,"CLINTON, HILLARY",DEMOCRAT,1382536,2976150,DEMOCRAT
2016,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,1405284,2976150,REPUBLICAN
2016,WEST VIRGINIA,WV,"CLINTON, HILLARY",DEMOCRAT,188794,713051,DEMOCRAT
2016,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,489371,713051,REPUBLICAN
2016,WYOMING,WY,"CLINTON, HILLARY",DEMOCRAT,55973,258788,DEMOCRAT
2016,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,174419,258788,REPUBLICAN
2020,ALASKA,AK,"BIDEN, JOSEPH R. JR",DEMOCRAT,153778,359530,DEMOCRAT
2020,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,189951,359530,REPUBLICAN
2020,ALABAMA,AL,"BIDEN, JOSEPH R. JR",DEMOCRAT,849624,2323282,DEMOCRAT
2020,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,1441170,2323282,REPUBLICAN
2020,ARKANSAS,AR,"BIDEN, JOSEPH R. JR",DEMOCRAT,423932,1219069,DEMOCRAT
2020,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,760647,1219069,REPUBLICAN
2020,ARIZONA,AZ,"BIDEN, JOSEPH R. JR",DEMOCRAT,1672143,3387326,DEMOCRAT
2020,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,1661686,3387326,REPUBLICAN
2020,CALIFORNIA,CA,"BIDEN, JOSEPH R. JR",DEMOCRAT,11110250,17500881,DEMOCRAT
2020,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,6006429,17500881,REPUBLICAN
2020,COLORADO,CO,"BIDEN, JOSEPH R. JR",DEMOCRAT,1804352,3279980,DEMOCRAT
2020,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,1364607,3279980,REPUBLICAN
2020,CONNECTICUT,CT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1080831,1823857,DEMOCRAT
2020,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,714717,1823857,REPUBLICAN
2020,DISTRICT OF COLUMBIA,DC,"BIDEN, JOSEPH R. JR",DEMOCRAT,317323,344265,DEMOCRAT
2020,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,18586,344265,REPUBLICAN
2020,DELAWARE,DE,"BIDEN, JOSEPH R. JR",DEMOCRAT,296268,504346,DEMOCRAT
2020,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,200603,504346,REPUBLICAN
2020,FLORIDA,FL,"BIDEN, JOSEPH R. JR",DEMOCRAT,5297045,11067456,DEMOCRAT
2020,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,5668731,11067456,REPUBLICAN
2020,GEORGIA,GA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2473633,4999960,DEMOCRAT
2020,GEORGIA,GA,"TRUMP, DONALD J.",REPUBLICAN,2461854,4999960,REPUBLICAN
2020,HAWAII,HI,"BIDEN, JOSEPH R. JR",DEMOCRAT,366130,579784,DEMOCRAT
2020,HAWAII,HI,"TRUMP, DONALD J.",REPUBLICAN,196864,579784,REPUBLICAN
2020,IOWA,IA,"BIDEN, JOSEPH R. JR",DEMOCRAT,759061,1700130,DEMOCRAT
2020,IOWA,IA,"TRUMP, DONALD J.",REPUBLICAN,897672,1700130,REPUBLICAN
2020,IDAHO,ID,"BIDEN, JOSEPH R. JR",DEMOCRAT,287021,868014,DEMOCRAT
2020,IDAHO,ID,"TRUMP, DONALD J.",REPUBLICAN,554119,868014,REPUBLICAN
2020,ILLINOIS,IL,"BIDEN, JOSEPH R. JR",DEMOCRAT,3471915,6033743,DEMOCRAT
2020,ILLINOIS,IL,"TRUMP, DONALD J.",REPUBLICAN,2446891,6033743,REPUBLICAN
2020,INDIANA,IN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1242416,3033118,DEMOCRAT
2020,INDIANA,IN,"TRUMP, DONALD J.",REPUBLICAN,1729519,3033118,REPUBLICAN
2020,KANSAS,KS,"BIDEN, JOSEPH R. JR",DEMOCRAT,570323,1372303,DEMOCRAT
2020,KANSAS,KS,"TRUMP, DONALD J.",REPUBLICAN,771406,1372303,REPUBLICAN
2020,KENTUCKY,KY,"BIDEN, JOSEPH R. JR",DEMOCRAT,772474,2136768,DEMOCRAT
2020,KENTUCKY,KY,"TRUMP, DONALD J.",REPUBLICAN,1326646,2136768,REPUBLICAN
2020,LOUISIANA,LA,"BIDEN, JOSEPH R. JR",DEMOCRAT,856034,2148062,DEMOCRAT
2020,LOUISIANA,LA,"TRUMP, DONALD J.",REPUBLICAN,1255776,2148062,REPUBLICAN
2020,MASSACHUSETTS,MA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2382202,3658005,DEMOCRAT
2020,MASSACHUSETTS,MA,"TRUMP, DONALD J.",REPUBLICAN,1167202,3658005,REPUBLICAN
2020,MARYLAND,MD,"BIDEN, JOSEPH R. JR",DEMOCRAT,1985023,3037030,DEMOCRAT
2020,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,976414,3037030,REPUBLICAN
2020,MAINE,ME,"BIDEN, JOSEPH R. JR",DEMOCRAT,435072,828305,DEMOCRAT
2020,MAINE,ME,"TRUMP, DONALD J.",REPUBLICAN,360737,828305,REPUBLICAN
2020,MICHIGAN,MI,"BIDEN, JOSEPH R. JR",DEMOCRAT,2804040,5539302,DEMOCRAT
2020,MICHIGAN,MI,"TRUMP, DONALD J.",REPUBLICAN,2649852,5539302,REPUBLICAN
2020,MINNESOTA,MN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1717077,3277171,DEMOCRAT
2020,MINNESOTA,MN,"TRUMP, DONALD J.",REPUBLICAN,1484065,3277171,REPUBLICAN
2020,MISSOURI,MO,"BIDEN, JOSEPH R. JR",DEMOCRAT,1253014,3025962,DEMOCRAT
2020,MISSOURI,MO,"TRUMP, DONALD J.",REPUBLICAN,1718736,3025962,REPUBLICAN
2020,MISSISSIPPI,MS,"BIDEN, JOSEPH R. JR",DEMOCRAT,539398,1313759,DEMOCRAT
2020,MISSISSIPPI,MS,"TRUMP, DONALD J.",REPUBLICAN,756764,1313759,REPUBLICAN
2020,MONTANA,MT,"BIDEN, JOSEPH R. JR",DEMOCRAT,244786,603674,DEMOCRAT
2020,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,343602,603674,REPUBLICAN
2020,NORTH CAROLINA,NC,"BIDEN, JOSEPH R. JR",DEMOCRAT,2684292,5524802,DEMOCRAT
2020,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,2758773,5524802,REPUBLICAN
2020,NORTH DAKOTA,ND,"BIDEN, JOSEPH R. JR",DEMOCRAT,114902,361819,DEMOCRAT
2020,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,235595,361819,REPUBLICAN
2020,NEBRASKA,NE,"BIDEN, JOSEPH R. JR",DEMOCRAT,374583,956383,DEMOCRAT
2020,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,556846,956383,REPUBLICAN
2020,NEW HAMPSHIRE,NH,"BIDEN, JOSEPH R. JR",DEMOCRAT,424921,806182,DEMOCRAT
2020,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,365654,806182,REPUBLICAN
2020,NEW JERSEY,NJ,"BIDEN, JOSEPH R. JR",DEMOCRAT,2608335,4549353,DEMOCRAT
2020,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,1883274,4549353,REPUBLICAN
2020,NEW MEXICO,NM,"BIDEN, JOSEPH R. JR",DEMOCRAT,501614,923965,DEMOCRAT
2020,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,401894,923965,REPUBLICAN
2020,NEVADA,NV,"BIDEN, JOSEPH R. JR",DEMOCRAT,703486,1405376,DEMOCRAT
2020,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,669890,1405376,REPUBLICAN
2020,NEW YORK,NY,"BIDEN, JOSEPH R. JR",DEMOCRAT,5230985,8661735,DEMOCRAT
2020,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,3244798,8661735,REPUBLICAN
2020,OHIO,OH,"BIDEN, JOSEPH R. JR",DEMOCRAT,2679165,5922202,DEMOCRAT
2020,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,3154834,5922202,REPUBLICAN
2020,OKLAHOMA,OK,"BIDEN, JOSEPH R. JR",DEMOCRAT,503890,1560699,DEMOCRAT
2020,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1020280,1560699,REPUBLICAN
2020,OREGON,OR,"BIDEN, JOSEPH R. JR",DEMOCRAT,1340383,2374321,DEMOCRAT
2020,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,958448,2374321,REPUBLICAN
2020,PENNSYLVANIA,PA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3458229,6915283,DEMOCRAT
2020,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,3377674,6915283,REPUBLICAN
2020,RHODE ISLAND,RI,"BIDEN, JOSEPH R. JR",DEMOCRAT,307486,516990,DEMOCRAT
2020,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,199922,516990,REPUBLICAN
2020,SOUTH CAROLINA,SC,"BIDEN, JOSEPH R. JR",DEMOCRAT,1091541,2514096,DEMOCRAT
2020,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,1385103,2514096,REPUBLICAN
2020,SOUTH DAKOTA,SD,"BIDEN, JOSEPH R. JR",DEMOCRAT,150471,422609,DEMOCRAT
2020,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,261043,422609,REPUBLICAN
2020,TENNESSEE,TN,"BIDEN, JOSEPH R. JR",DEMOCRAT,1143711,3053851,DEMOCRAT
2020,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,1852475,3053851,REPUBLICAN
2020,TEXAS,TX,"BIDEN, JOSEPH R. JR",DEMOCRAT,5259126,11315056,DEMOCRAT
2020,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,5890347,11315056,REPUBLICAN
2020,UTAH,UT,"BIDEN, JOSEPH R. JR",DEMOCRAT,560282,1488289,DEMOCRAT
2020,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,865140,1488289,REPUBLICAN
2020,VIRGINIA,VA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2413568,4460524,DEMOCRAT
2020,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,1962430,4460524,REPUBLICAN
2020,VERMONT,VT,"BIDEN, JOSEPH R. JR",DEMOCRAT,242820,370968,DEMOCRAT
2020,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,112704,370968,REPUBLICAN
2020,WASHINGTON,WA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2369612,4087631,DEMOCRAT
2020,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,1584651,4087631,REPUBLICAN
2020,WISCONSIN,WI,"BIDEN, JOSEPH R. JR",DEMOCRAT,1630866,3298041,DEMOCRAT
2020,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,1610184,3298041,REPUBLICAN
2020,WEST VIRGINIA,WV,"BIDEN, JOSEPH R. JR",DEMOCRAT,235984,794652,DEMOCRAT
2020,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,545382,794652,REPUBLICAN
2020,WYOMING,WY,"BIDEN, JOSEPH R. JR",DEMOCRAT,73491,278503,DEMOCRAT
2020,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,193559,278503,REPUBLICAN
